word,n_morphemes,note,n_pref,n_root,n_suff,prs,zipf_freq
aaron,1,{(aaron)},0,1,0,"0,1,0",4.23
aback,1,{(aback)},0,1,0,"0,1,0",2.99
abacus,1,{(abacus)},0,1,0,"0,1,0",2.65
abandon,1,{(abandon)},0,1,0,"0,1,0",4.02
abandonment,2,{(abandon)}>ment>,0,1,1,"0,1,1",3.4
abase,2,{<a<(base)},1,1,0,"1,1,0",1.56
abased,2,{<a<(base)},1,1,0,"1,1,0",1.54
abasement,3,{<a<(base)}>ment>,1,1,1,"1,1,1",1.71
abash,1,{(abash)},0,1,0,"0,1,0",1.02
abate,1,{(abate)},0,1,0,"0,1,0",2.68
abated,1,{(abate)},0,1,0,"0,1,0",2.59
abatement,2,{(abate)}>ment>,0,1,1,"0,1,1",2.73
abattoir,1,{(abattoir)},0,1,0,"0,1,0",2.5
abbe,1,{(abbe)},0,1,0,"0,1,0",2.44
abbess,1,{(abbess)},0,1,0,"0,1,0",2.5
abbey,1,{(abbey)},0,1,0,"0,1,0",3.88
abbot,1,{(abbot)},0,1,0,"0,1,0",3.43
abbreviate,3,{<a<(brevi)>ate>},1,1,1,"1,1,1",2.23
abbreviated,3,{<a<(brevi)>ate>},1,1,1,"1,1,1",3.19
abbreviation,4,{<a<(brevi)>ate>}>ion>,1,1,2,"1,1,2",3.14
abdicate,1,{(abdicate)},0,1,0,"0,1,0",2.66
abdicated,1,{(abdicate)},0,1,0,"0,1,0",2.58
abdication,2,{(abdicate)}>ion>,0,1,1,"0,1,1",2.8
abdomen,1,{(abdomen)},0,1,0,"0,1,0",3.56
abdominal,2,{(abdomen)>al>},0,1,1,"0,1,1",3.58
abduct,2,{<ab<(duct)},1,1,0,"1,1,0",2.74
abduction,3,{<ab<(duct)}>ion>,1,1,1,"1,1,1",3.43
abeam,1,{(abeam)},0,1,0,"0,1,0",1.75
abed,1,{(abed)},0,1,0,"0,1,0",2.83
aberrant,1,{(aberrant)},0,1,0,"0,1,0",2.69
aberration,2,{(aberrate)}>ion>,0,1,1,"0,1,1",2.98
abet,1,{(abet)},0,1,0,"0,1,0",2.41
abetted,1,{(abet)},0,1,0,"0,1,0",2.56
abetting,1,{(abet)},0,1,0,"0,1,0",2.82
