word,n_morphemes,class,note
dog,1,monomorph,simplex
cat,1,monomorph,simplex
man,1,monomorph,simplex
boy,1,monomorph,simplex
girl,1,monomorph,simplex
hand,1,monomorph,simplex
eye,1,monomorph,simplex
foot,1,monomorph,simplex
head,1,monomorph,simplex
heart,1,monomorph,simplex
blood,1,monomorph,simplex
bone,1,monomorph,simplex
skin,1,monomorph,simplex
hair,1,monomorph,simplex
mouth,1,monomorph,simplex
nose,1,monomorph,simplex
ear,1,monomorph,simplex
tooth,1,monomorph,simplex
arm,1,monomorph,simplex
leg,1,monomorph,simplex
house,1,monomorph,simplex
home,1,monomorph,simplex
room,1,monomorph,simplex
door,1,monomorph,simplex
wall,1,monomorph,simplex
floor,1,monomorph,simplex
window,1,monomorph,simplex
table,1,monomorph,simplex
chair,1,monomorph,simplex
bed,1,monomorph,simplex
food,1,monomorph,simplex
bread,1,monomorph,simplex
milk,1,monomorph,simplex
water,1,monomorph,simplex
wine,1,monomorph,simplex
beer,1,monomorph,simplex
meat,1,monomorph,simplex
fish,1,monomorph,simplex
rice,1,monomorph,simplex
salt,1,monomorph,simplex
day,1,monomorph,simplex
night,1,monomorph,simplex
year,1,monomorph,simplex
week,1,monomorph,simplex
month,1,monomorph,simplex
hour,1,monomorph,simplex
time,1,monomorph,simplex
morning,1,monomorph,simplex
summer,1,monomorph,simplex
winter,1,monomorph,simplex
sun,1,monomorph,simplex
moon,1,monomorph,simplex
star,1,monomorph,simplex
sky,1,monomorph,simplex
rain,1,monomorph,simplex
snow,1,monomorph,simplex
wind,1,monomorph,simplex
cloud,1,monomorph,simplex
fire,1,monomorph,simplex
earth,1,monomorph,simplex
tree,1,monomorph,simplex
leaf,1,monomorph,simplex
flower,1,monomorph,simplex
grass,1,monomorph,simplex
stone,1,monomorph,simplex
rock,1,monomorph,simplex
sand,1,monomorph,simplex
river,1,monomorph,simplex
sea,1,monomorph,simplex
lake,1,monomorph,simplex
mountain,1,monomorph,simplex
hill,1,monomorph,simplex
field,1,monomorph,simplex
road,1,monomorph,simplex
car,1,monomorph,simplex
bus,1,monomorph,simplex
train,1,monomorph,simplex
ship,1,monomorph,simplex
plane,1,monomorph,simplex
book,1,monomorph,simplex
pen,1,monomorph,simplex
paper,1,monomorph,simplex
letter,1,monomorph,simplex
word,1,monomorph,simplex
story,1,monomorph,simplex
song,1,monomorph,simplex
game,1,monomorph,simplex
ball,1,monomorph,simplex
horse,1,monomorph,simplex
bird,1,monomorph,simplex
cow,1,monomorph,simplex
pig,1,monomorph,simplex
sheep,1,monomorph,simplex
mouse,1,monomorph,simplex
fox,1,monomorph,simplex
wolf,1,monomorph,simplex
bear,1,monomorph,simplex
lion,1,monomorph,simplex
king,1,monomorph,simplex
queen,1,monomorph,simplex
child,1,monomorph,simplex
baby,1,monomorph,simplex
friend,1,monomorph,simplex
enemy,1,monomorph,simplex
god,1,monomorph,simplex
death,1,monomorph,simplex
life,1,monomorph,simplex
love,1,monomorph,simplex
fear,1,monomorph,simplex
hope,1,monomorph,simplex
pain,1,monomorph,simplex
joy,1,monomorph,simplex
mind,1,monomorph,simplex
soul,1,monomorph,simplex
law,1,monomorph,simplex
war,1,monomorph,simplex
peace,1,monomorph,simplex
money,1,monomorph,simplex
gold,1,monomorph,simplex
city,1,monomorph,simplex
town,1,monomorph,simplex
village,1,monomorph,simplex
school,1,monomorph,simplex
church,1,monomorph,simplex
hospital,1,monomorph,simplex
office,1,monomorph,simplex
shop,1,monomorph,simplex
market,1,monomorph,simplex
farm,1,monomorph,simplex
job,1,monomorph,simplex
