word,n_morphemes,class,note
abbey,1,monomorph,simplex alt set
accordion,1,monomorph,simplex alt set
adolescent,1,monomorph,simplex alt set
alligator,1,monomorph,simplex alt set
ally,1,monomorph,simplex alt set
almond,1,monomorph,simplex alt set
anchor,1,monomorph,simplex alt set
ankle,1,monomorph,simplex alt set
ant,1,monomorph,simplex alt set
apprentice,1,monomorph,simplex alt set
argon,1,monomorph,simplex alt set
aspirin,1,monomorph,simplex alt set
asteroid,1,monomorph,simplex alt set
attic,1,monomorph,simplex alt set
avocado,1,monomorph,simplex alt set
awe,1,monomorph,simplex alt set
axe,1,monomorph,simplex alt set
bachelor,1,monomorph,simplex alt set
badge,1,monomorph,simplex alt set
badger,1,monomorph,simplex alt set
bagel,1,monomorph,simplex alt set
baggage,1,monomorph,simplex alt set
balcony,1,monomorph,simplex alt set
ballet,1,monomorph,simplex alt set
ballyhoo,1,monomorph,borrowed/simplex alt set
baloney,1,monomorph,borrowed/simplex alt set
bang,1,monomorph,simplex alt set
banjo,1,monomorph,simplex alt set
barber,1,monomorph,simplex alt set
barge,1,monomorph,simplex alt set
bassoon,1,monomorph,simplex alt set
battery,1,monomorph,simplex alt set
bean,1,monomorph,simplex alt set
beard,1,monomorph,simplex alt set
beaver,1,monomorph,simplex alt set
bee,1,monomorph,simplex alt set
beetle,1,monomorph,simplex alt set
bench,1,monomorph,simplex alt set
bishop,1,monomorph,simplex alt set
bison,1,monomorph,simplex alt set
blanket,1,monomorph,simplex alt set
blarney,1,monomorph,borrowed/simplex alt set
blaze,1,monomorph,simplex alt set
blues,1,monomorph,simplex alt set
bog,1,monomorph,simplex alt set
bolt,1,monomorph,simplex alt set
boson,1,monomorph,simplex alt set
boulder,1,monomorph,simplex alt set
broccoli,1,monomorph,simplex alt set
broom,1,monomorph,simplex alt set
bucket,1,monomorph,simplex alt set
buckle,1,monomorph,simplex alt set
buffalo,1,monomorph,simplex alt set
bulb,1,monomorph,simplex alt set
burger,1,monomorph,simplex alt set
burrito,1,monomorph,simplex alt set
burrow,1,monomorph,simplex alt set
butcher,1,monomorph,simplex alt set
butler,1,monomorph,simplex alt set
cabbage,1,monomorph,simplex alt set
cabin,1,monomorph,simplex alt set
cabinet,1,monomorph,simplex alt set
cable,1,monomorph,simplex alt set
cafe,1,monomorph,simplex alt set
cake,1,monomorph,simplex alt set
calcium,1,monomorph,simplex alt set
calf,1,monomorph,simplex alt set
canal,1,monomorph,simplex alt set
canoe,1,monomorph,simplex alt set
canvas,1,monomorph,simplex alt set
carbon,1,monomorph,simplex alt set
cardinal,1,monomorph,simplex alt set
cargo,1,monomorph,simplex alt set
carpenter,1,monomorph,simplex alt set
carpet,1,monomorph,simplex alt set
carrot,1,monomorph,simplex alt set
cashew,1,monomorph,simplex alt set
celery,1,monomorph,simplex alt set
cellar,1,monomorph,simplex alt set
cello,1,monomorph,simplex alt set
chain,1,monomorph,simplex alt set
chalk,1,monomorph,simplex alt set
charm,1,monomorph,simplex alt set
chef,1,monomorph,simplex alt set
chimney,1,monomorph,simplex alt set
chisel,1,monomorph,simplex alt set
civilian,1,monomorph,simplex alt set
clam,1,monomorph,simplex alt set
clan,1,monomorph,simplex alt set
claptrap,1,monomorph,borrowed/simplex alt set
clarinet,1,monomorph,simplex alt set
clasp,1,monomorph,simplex alt set
clerk,1,monomorph,simplex alt set
cliff,1,monomorph,simplex alt set
clink,1,monomorph,simplex alt set
clip,1,monomorph,simplex alt set
closet,1,monomorph,simplex alt set
coal,1,monomorph,simplex alt set
coke,1,monomorph,simplex alt set
colander,1,monomorph,simplex alt set
colleague,1,monomorph,simplex alt set
comedy,1,monomorph,simplex alt set
comet,1,monomorph,simplex alt set
compass,1,monomorph,simplex alt set
convent,1,monomorph,simplex alt set
cookie,1,monomorph,simplex alt set
cornea,1,monomorph,simplex alt set
cottage,1,monomorph,simplex alt set
couch,1,monomorph,simplex alt set
coupon,1,monomorph,simplex alt set
courage,1,monomorph,simplex alt set
crab,1,monomorph,simplex alt set
crash,1,monomorph,simplex alt set
crayon,1,monomorph,simplex alt set
cream,1,monomorph,simplex alt set
crocodile,1,monomorph,simplex alt set
crown,1,monomorph,simplex alt set
cub,1,monomorph,simplex alt set
cucumber,1,monomorph,simplex alt set
curtain,1,monomorph,simplex alt set
cushion,1,monomorph,simplex alt set
cymbal,1,monomorph,simplex alt set
dagger,1,monomorph,simplex alt set
daisy,1,monomorph,borrowed/simplex alt set
dam,1,monomorph,simplex alt set
dawn,1,monomorph,simplex alt set
den,1,monomorph,simplex alt set
denim,1,monomorph,simplex alt set
desk,1,monomorph,simplex alt set
dew,1,monomorph,simplex alt set
dignity,1,monomorph,simplex alt set
dimple,1,monomorph,simplex alt set
diocese,1,monomorph,simplex alt set
diplomat,1,monomorph,simplex alt set
dock,1,monomorph,simplex alt set
donkey,1,monomorph,simplex alt set
doubt,1,monomorph,simplex alt set
drama,1,monomorph,simplex alt set
drawer,1,monomorph,simplex alt set
dread,1,monomorph,simplex alt set
drill,1,monomorph,simplex alt set
drizzle,1,monomorph,simplex alt set
drone,1,monomorph,simplex alt set
dune,1,monomorph,simplex alt set
dusk,1,monomorph,simplex alt set
dynasty,1,monomorph,simplex alt set
echo,1,monomorph,simplex alt set
elbow,1,monomorph,simplex alt set
ember,1,monomorph,simplex alt set
empire,1,monomorph,simplex alt set
envelope,1,monomorph,simplex alt set
enzyme,1,monomorph,simplex alt set
fabric,1,monomorph,simplex alt set
falcon,1,monomorph,simplex alt set
farrago,1,monomorph,borrowed/simplex alt set
fen,1,monomorph,simplex alt set
fermion,1,monomorph,simplex alt set
ferret,1,monomorph,simplex alt set
ferry,1,monomorph,simplex alt set
fig,1,monomorph,simplex alt set
finch,1,monomorph,simplex alt set
flask,1,monomorph,simplex alt set
flock,1,monomorph,simplex alt set
flour,1,monomorph,simplex alt set
flummery,1,monomorph,borrowed/simplex alt set
foal,1,monomorph,simplex alt set
foe,1,monomorph,simplex alt set
fog,1,monomorph,simplex alt set
folderol,1,monomorph,borrowed/simplex alt set
folk,1,monomorph,simplex alt set
fool,1,monomorph,simplex alt set
freckle,1,monomorph,simplex alt set
freight,1,monomorph,simplex alt set
fridge,1,monomorph,simplex alt set
frost,1,monomorph,simplex alt set
fuse,1,monomorph,simplex alt set
galaxy,1,monomorph,simplex alt set
garage,1,monomorph,simplex alt set
garlic,1,monomorph,simplex alt set
gauntlet,1,monomorph,simplex alt set
genius,1,monomorph,simplex alt set
gladiator,1,monomorph,simplex alt set
goulash,1,monomorph,borrowed/simplex alt set
grace,1,monomorph,simplex alt set
granite,1,monomorph,simplex alt set
gravel,1,monomorph,simplex alt set
grief,1,monomorph,simplex alt set
hail,1,monomorph,simplex alt set
hammer,1,monomorph,simplex alt set
harbor,1,monomorph,simplex alt set
harmonica,1,monomorph,simplex alt set
harp,1,monomorph,simplex alt set
hawk,1,monomorph,simplex alt set
haze,1,monomorph,simplex alt set
heel,1,monomorph,simplex alt set
helium,1,monomorph,simplex alt set
helmet,1,monomorph,simplex alt set
hem,1,monomorph,simplex alt set
herb,1,monomorph,simplex alt set
herd,1,monomorph,simplex alt set
hermit,1,monomorph,simplex alt set
heron,1,monomorph,simplex alt set
hippo,1,monomorph,simplex alt set
hive,1,monomorph,simplex alt set
hoe,1,monomorph,simplex alt set
honesty,1,monomorph,simplex alt set
hoopla,1,monomorph,borrowed/simplex alt set
hormone,1,monomorph,simplex alt set
horror,1,monomorph,simplex alt set
hose,1,monomorph,simplex alt set
humbug,1,monomorph,borrowed/simplex alt set
humility,1,monomorph,simplex alt set
humor,1,monomorph,simplex alt set
husk,1,monomorph,simplex alt set
hut,1,monomorph,simplex alt set
hydrogen,1,monomorph,simplex alt set
idiot,1,monomorph,simplex alt set
infant,1,monomorph,simplex alt set
inferno,1,monomorph,simplex alt set
inn,1,monomorph,simplex alt set
insulin,1,monomorph,simplex alt set
intern,1,monomorph,simplex alt set
invoice,1,monomorph,simplex alt set
iris,1,monomorph,simplex alt set
irony,1,monomorph,simplex alt set
jam,1,monomorph,simplex alt set
janitor,1,monomorph,simplex alt set
jazz,1,monomorph,simplex alt set
jelly,1,monomorph,simplex alt set
jug,1,monomorph,simplex alt set
jumble,1,monomorph,borrowed/simplex alt set
jungle,1,monomorph,simplex alt set
kayak,1,monomorph,simplex alt set
kernel,1,monomorph,simplex alt set
kettle,1,monomorph,simplex alt set
kitten,1,monomorph,simplex alt set
kiwi,1,monomorph,simplex alt set
knight,1,monomorph,simplex alt set
knuckle,1,monomorph,simplex alt set
koala,1,monomorph,simplex alt set
lace,1,monomorph,simplex alt set
ladder,1,monomorph,simplex alt set
ladle,1,monomorph,simplex alt set
lagoon,1,monomorph,simplex alt set
lair,1,monomorph,simplex alt set
lamb,1,monomorph,simplex alt set
lance,1,monomorph,simplex alt set
lead,1,monomorph,simplex alt set
ledger,1,monomorph,simplex alt set
lens,1,monomorph,simplex alt set
lentil,1,monomorph,simplex alt set
lepton,1,monomorph,simplex alt set
lettuce,1,monomorph,simplex alt set
linen,1,monomorph,simplex alt set
lizard,1,monomorph,simplex alt set
loam,1,monomorph,simplex alt set
lobby,1,monomorph,simplex alt set
lobster,1,monomorph,simplex alt set
lotion,1,monomorph,simplex alt set
loyalty,1,monomorph,simplex alt set
luggage,1,monomorph,simplex alt set
magnet,1,monomorph,simplex alt set
maid,1,monomorph,simplex alt set
malarkey,1,monomorph,borrowed/simplex alt set
mango,1,monomorph,simplex alt set
mansion,1,monomorph,simplex alt set
marble,1,monomorph,simplex alt set
mare,1,monomorph,simplex alt set
marina,1,monomorph,simplex alt set
marsh,1,monomorph,simplex alt set
mason,1,monomorph,simplex alt set
mast,1,monomorph,simplex alt set
mattress,1,monomorph,simplex alt set
mayor,1,monomorph,simplex alt set
mechanic,1,monomorph,simplex alt set
mentor,1,monomorph,simplex alt set
mercury,1,monomorph,simplex alt set
mercy,1,monomorph,simplex alt set
mesa,1,monomorph,simplex alt set
meteor,1,monomorph,simplex alt set
methane,1,monomorph,simplex alt set
mill,1,monomorph,simplex alt set
mist,1,monomorph,simplex alt set
monastery,1,monomorph,simplex alt set
monk,1,monomorph,simplex alt set
mop,1,monomorph,simplex alt set
moth,1,monomorph,simplex alt set
muffin,1,monomorph,simplex alt set
mug,1,monomorph,simplex alt set
mule,1,monomorph,simplex alt set
mushroom,1,monomorph,borrowed/simplex alt set
mustache,1,monomorph,simplex alt set
mystic,1,monomorph,simplex alt set
nail,1,monomorph,simplex alt set
